x,y,z,x_quat,y_quat,z_quat,w_quat,speed
89623.3669962,43163.8243293,0.0,0.0,0.0,0.49894769147403767,0.8666321025514394,9.5698679
89621.516732,43164.6727131,0.0,0.0,0.0,0.5831384737364813,0.812372771853099,8.4977608
89619.6485886,43165.1209507,0.0,0.0,0.0,0.655139689112,0.7555077681600845,7.377888
89617.64175200001,43165.0847279,0.0,0.0,0.0,0.7727470603884202,0.6347140936366982,5.9655135
89615.7905003,43164.3592034,0.0,0.0,0.0,0.8871816505928392,0.4614203277396494,5.9104149
89614.4963278,43163.0157393,0.0,0.0,0.0,0.9371498624363898,0.3489271203782471,5.8547978
89613.5789877,43161.2810546,0.0,0.0,0.0,0.9897113928065016,0.14307815678507604,7.4037584
89613.2380276,43159.2431551,0.0,0.0,0.0,0.9996343217786016,0.027041130195228948,8.4359888
89613.34427490001,43157.207378,0.0,0.0,0.0,-0.9972653982453435,0.07390348748574957,9.3421533
89613.7888608,43155.2588248,0.0,0.0,0.0,-0.9891273775239493,0.14706131725438454,10.2235346
89614.5005692,43153.3383492,0.0,0.0,0.0,-0.9795123883676202,0.2013839145372848,11.0790078
89615.33520670001,43151.5419958,0.0,0.0,0.0,-0.973851901289934,0.2271837898134034,11.11
89616.2624029,43149.8064005,0.0,0.0,0.0,-0.9651104847545138,0.26184299153673646,11.11
89617.3310966,43148.1420407,0.0,0.0,0.0,-0.9548278433054502,0.2971595356852317,11.11
89618.48260650001,43146.5229422,0.0,0.0,0.0,-0.9514121617218848,0.3079202795005392,11.11
89619.6629242,43144.8837864,0.0,0.0,0.0,-0.9526420822511749,0.3040938393393491,11.11
89620.8000969,43143.2455963,0.0,0.0,0.0,-0.9562273744075628,0.2926246886946122,11.11
89621.8960695,43141.5666036,0.0,0.0,0.0,-0.9605712685257792,0.2780338793794297,11.11
89622.9458933,43139.8676338,0.0,0.0,0.0,-0.9629657119713096,0.26962388167146617,11.11
89623.9863308,43138.1529393,0.0,0.0,0.0,-0.9625421241423454,0.2711321804056863,11.11
89625.0507147,43136.4628935,0.0,0.0,0.0,-0.9582612233869282,0.28589408485134415,11.11
89626.18746300001,43134.829588399996,0.0,0.0,0.0,-0.9490105198854584,0.3152444022448806,11.11
89627.4386959,43133.2862642,0.0,0.0,0.0,-0.9355338639316989,0.35323701594966733,11.11
89628.81609800001,43131.8442411,0.0,0.0,0.0,-0.9210312877404533,0.38948859675626224,11.11
89630.3018363,43130.4875119,0.0,0.0,0.0,-0.9093320247980851,0.4160712302918994,11.11
89631.856357,43129.2065018,0.0,0.0,0.0,-0.8996254066960883,0.4366624870845878,11.11
89633.4583541,43127.997891,0.0,0.0,0.0,-0.8907321156194343,0.4545286549868188,11.11
